"id"	"name"	"country"	"compatibility"	"category"	"updated_date"	"size"	"seller"	"rated"	"requirements"	"bundleid"	"average_current"	"total_current"	"average_all"	"total_all"	"current1"	"current2"	"current3"	"current4"	"current5"	"all1"	"all2"	"all3"	"all4"	"all5"	"fullrank_id"	"created_at"	"updated_at"
192	"POF - Free Dating App"	"United States"	" Universal"	" Social Networking"	" Mar 26, 2015"	" 23.4 MB"	" Plentyoffish Media Inc."	"Rated 17+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.pof.mobileapp.iphone"	"3.6"	"823"	"3.5"	"26,631"	"(310)"	"(202)"	"(130)"	"(69)"	"(112)"	"(10,178)"	"(5,128)"	"(3,920)"	"(2,221)"	"(5,184)"	574	"2015-04-01 13:15:16.728299"	"2015-04-01 13:15:16.728299"
193	"Amazon Instant Video"	"United States"	" Universal"	" Entertainment"	" Mar 26, 2015"	" 33.0 MB"	" AMZN Mobile LLC"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.amazon.aiv.AIVApp"	"2.5"	"91"	"2.5"	"13,828"	"(22)"	"(8)"	"(10)"	"(9)"	"(42)"	"(2,974)"	"(1,326)"	"(1,617)"	"(2,034)"	"(5,877)"	577	"2015-04-01 13:15:24.914188"	"2015-04-01 13:15:24.914188"
194	"Inbox by Gmail - the inbox that works for you"	"United States"	" Universal"	" Productivity"	" Mar 27, 2015"	" 31.7 MB"	" Google, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.google.inbox"	"3.8"	"112"	"4.3"	"6,134"	"(47)"	"(30)"	"(15)"	"(7)"	"(13)"	"(3,641)"	"(1,484)"	"(473)"	"(205)"	"(331)"	580	"2015-04-01 13:15:31.658492"	"2015-04-01 13:15:31.658492"
195	"Farm Heroes Saga"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 50.8 MB"	" King.com Limited"	"Rated 4+"	" Requires iOS 5.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.midasplayer.apps.farmheroessaga"	"4.6"	"1,054"	"4.5"	"150,782"	"(761)"	"(198)"	"(53)"	"(17)"	"(25)"	"(103,537)"	"(31,295)"	"(8,340)"	"(3,094)"	"(4,516)"	583	"2015-04-01 13:15:39.033958"	"2015-04-01 13:15:39.033958"
196	"Credit Karma Mobile - Free Credit Score & Credit Monitoring"	"United States"	" iPhone, iPod touch"	" Finance"	" Mar 26, 2015"	" 15.5 MB"	" Credit Karma, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.creditkarma.mobile"	"4.3"	"180"	"4.8"	"73,831"	"(128)"	"(19)"	"(9)"	"(6)"	"(18)"	"(63,268)"	"(7,431)"	"(1,153)"	"(561)"	"(1,418)"	586	"2015-04-01 13:15:47.102695"	"2015-04-01 13:15:47.102695"
197	"New Emoji Keyboard - Extra Emojis - for FREE"	"United States"	" Universal"	" Catalogs"	" Mar 30, 2015"	" 13.2 MB"	" Emoji Apps GmbH"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.emojiAppsGmbh.newEmojiKeyboardFree"	"3.7"	"65"	"3.7"	"65"	"(34)"	"(10)"	"(4)"	"(4)"	"(13)"	"(34)"	"(10)"	"(4)"	"(4)"	"(13)"	589	"2015-04-01 13:15:54.079528"	"2015-04-01 13:15:54.079528"
198	"AT&T Mobile Transfer - Free"	"United States"	" iPhone, iPod touch"	" Utilities"	" Mar 26, 2015"	" 11.6 MB"	" AT&T Services, Inc."	"Rated 4+"	" Requires iOS 5.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.att.mobiletransfer"	"4.8"	"297"	"4.3"	"394"	"(269)"	"(19)"	"(2)"	"(3)"	"(4)"	"(304)"	"(22)"	"(5)"	"(8)"	"(55)"	592	"2015-04-01 13:16:02.957082"	"2015-04-01 13:16:02.957082"
199	"Rhapsody- Music & Radio"	"United States"	" Universal"	" Music"	" Mar 26, 2015"	" 35.6 MB"	" Rhapsody International Inc"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.rhapsody.iphone.Rhapsody3"	"4.4"	"530"	"4.1"	"7,134"	"(379)"	"(81)"	"(27)"	"(13)"	"(30)"	"(4,363)"	"(1,096)"	"(457)"	"(383)"	"(835)"	595	"2015-04-01 13:16:09.506697"	"2015-04-01 13:16:09.506697"
200	"Star Wars Rebels: Recon Missions"	"United States"	" Universal"	" Games"	" Mar 28, 2015"	" 413.0 MB"	" Disney Electronic Content, Inc."	"Rated 9+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.disney.starwarsrebels"	"4.2"	"424"	"4.2"	"424"	"(295)"	"(31)"	"(19)"	"(25)"	"(54)"	"(295)"	"(31)"	"(19)"	"(25)"	"(54)"	598	"2015-04-01 13:16:16.811712"	"2015-04-01 13:16:16.811712"
201	"Amazon Music with Prime Music"	"United States"	" Universal"	" Music"	" Mar 28, 2015"	" 31.2 MB"	" AMZN Mobile LLC"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.amazon.mp3.AmazonCloudPlayer"	"3.8"	"55"	"4.0"	"7,744"	"(29)"	"(9)"	"(4)"	"(2)"	"(11)"	"(4,354)"	"(1,372)"	"(525)"	"(437)"	"(1,056)"	601	"2015-04-01 13:16:23.438465"	"2015-04-01 13:16:23.438465"
