"id"	"name"	"country"	"compatibility"	"category"	"updated_date"	"size"	"seller"	"rated"	"requirements"	"bundleid"	"average_current"	"total_current"	"average_all"	"total_all"	"current1"	"current2"	"current3"	"current4"	"current5"	"all1"	"all2"	"all3"	"all4"	"all5"	"fullrank_id"	"created_at"	"updated_at"
708	"Carb Manager - low carbohydrate diet tracker"	"United States"	" iPhone, iPod touch"	" Health and Fitness"	" Mar 24, 2015"	" 79.1 MB"	" Wombat Apps LLC"	"Rated 4+"	" Requires iOS 7.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.wombatapps.carbtracker"	"4.5"	"11"	"3.7"	"574"	"(8)"	"(2)"	"(0)"	"(0)"	"(1)"	"(233)"	"(147)"	"(68)"	"(45)"	"(81)"	623	"2015-04-01 14:15:11.841888"	"2015-04-01 14:15:11.841888"
709	"Spyglass"	"United States"	" Universal"	" Navigation"	" Mar 27, 2015"	" 10.2 MB"	" Pavel Ahafonau"	"Rated 4+"	" Requires iOS 6.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.paully.spyglass"	"4.7"	"23"	"4.3"	"2,499"	"(20)"	"(1)"	"(1)"	"(0)"	"(1)"	"(1,627)"	"(441)"	"(137)"	"(94)"	"(200)"	626	"2015-04-01 14:15:18.708374"	"2015-04-01 14:15:18.708374"
710	"Runtastic PRO GPS Running, Walking, Jogging, Fitness Tracker and Marathon Training"	"United States"	" iPhone, iPod touch"	" Health and Fitness"	" Mar 24, 2015"	" 48.9 MB"	" runtastic"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" at.runtastic.runtastic.pro"	"4.5"	"333"	"4.7"	"14,410"	"(242)"	"(49)"	"(16)"	"(6)"	"(20)"	"(11,827)"	"(1,501)"	"(374)"	"(251)"	"(457)"	629	"2015-04-01 14:15:25.569829"	"2015-04-01 14:15:25.569829"
711	"Hide N Seek : Mini Game With Worldwide Multiplayer"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 70.5 MB"	" wang wei"	"Rated 12+"	" Requires iOS 4.3 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.fingerlegend.hidenseek"	"4.1"	"146"	"3.9"	"6,455"	"(93)"	"(17)"	"(12)"	"(5)"	"(19)"	"(3,711)"	"(857)"	"(595)"	"(371)"	"(921)"	632	"2015-04-01 14:15:32.287444"	"2015-04-01 14:15:32.287444"
712	"ScanBizCards Business Card Reader"	"United States"	" iPhone, iPod touch"	" Business"	" Mar 26, 2015"	" 34.0 MB"	" ScanBiz Mobile Solutions L.P."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.photoscanmobile.photoscan"	"4.1"	"161"	"4.1"	"2,563"	"(97)"	"(30)"	"(6)"	"(3)"	"(25)"	"(1,411)"	"(611)"	"(156)"	"(113)"	"(272)"	635	"2015-04-01 14:15:38.911647"	"2015-04-01 14:15:38.911647"
713	"Global Weather"	"United States"	" Universal"	" Weather"	" Mar 30, 2015"	" 30.3 MB"	" Best Search Infobrokerage, Inc"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" us.weathertrack.GlobalLocal"	"4.6"	"27"	"4.2"	"33"	"(17)"	"(10)"	"(0)"	"(0)"	"(0)"	"(18)"	"(10)"	"(1)"	"(1)"	"(3)"	638	"2015-04-01 14:15:45.636650"	"2015-04-01 14:15:45.636650"
714	"Papa's Pizzeria To Go!"	"United States"	" iPhone, iPod touch"	" Games"	" Mar 26, 2015"	" 41.8 MB"	" Flipline IDS LLC"	"Rated 4+"	" Requires iOS 4.3 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.flipline.papaspizzeriatogo"	"4.3"	"37"	"4.4"	"51"	"(27)"	"(3)"	"(2)"	"(0)"	"(5)"	"(39)"	"(4)"	"(3)"	"(0)"	"(5)"	641	"2015-04-01 14:15:52.458203"	"2015-04-01 14:15:52.458203"
715	"Stylebook"	"United States"	" Universal"	" Lifestyle"	" Apr 01, 2015"	" 13.3 MB"	" left brain / right brain, LLC"	"Rated 9+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.leftbrainrightbrain.stylebook"	"4.2"	"172"	"4.0"	"921"	"(90)"	"(44)"	"(21)"	"(10)"	"(7)"	"(465)"	"(224)"	"(83)"	"(50)"	"(99)"	644	"2015-04-01 14:15:59.343564"	"2015-04-01 14:15:59.343564"
716	"Dirt Trackin"	"United States"	" Universal"	" Games"	" Apr 01, 2015"	" 96.3 MB"	" Tim Bennett"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.bennettracingsimulations.dirttrackin"	""	""	"4.4"	"406"	""	""	""	""	""	"(279)"	"(71)"	"(26)"	"(7)"	"(23)"	647	"2015-04-01 14:16:05.821459"	"2015-04-01 14:16:05.821459"
717	"Slow Shutter Cam"	"United States"	" Universal"	" Photo and Video"	" Mar 18, 2015"	" 5.9 MB"	" Cogitap Software"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.cogitap.SlowShutter"	"4.9"	"129"	"4.1"	"1,839"	"(119)"	"(7)"	"(1)"	"(0)"	"(2)"	"(1,068)"	"(339)"	"(138)"	"(95)"	"(199)"	650	"2015-04-01 14:16:12.561369"	"2015-04-01 14:16:12.561369"
718	"Group Text!"	"United States"	" Universal"	" Productivity"	" Mar 26, 2015"	" 6.9 MB"	" Andrea Vettori"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.redbits.grouptext"	"4.0"	"163"	"4.4"	"2,243"	"(99)"	"(26)"	"(8)"	"(6)"	"(24)"	"(1,533)"	"(407)"	"(94)"	"(52)"	"(157)"	653	"2015-04-01 14:16:19.153595"	"2015-04-01 14:16:19.153595"
719	"Duck Dynasty®: Battle of the Beards"	"United States"	" iPhone, iPod touch"	" Games"	" Mar 26, 2015"	" 69.0 MB"	" A&E Television Networks Mobile"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.aenetworks.duckred"	"4.7"	"1,506"	"4.8"	"5,736"	"(1,217)"	"(161)"	"(73)"	"(25)"	"(30)"	"(4,964)"	"(452)"	"(156)"	"(62)"	"(102)"	656	"2015-04-01 14:16:25.823479"	"2015-04-01 14:16:25.823479"
720	"PhotoSync - wireless photo and video transfer, backup and share app"	"United States"	" Universal"	" Photo and Video"	" Mar 17, 2015"	" 35.2 MB"	" touchbyte GmbH"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.touchbyte.PhotoSync"	"4.8"	"495"	"4.5"	"3,401"	"(448)"	"(20)"	"(3)"	"(6)"	"(18)"	"(2,674)"	"(328)"	"(92)"	"(82)"	"(225)"	659	"2015-04-01 14:16:32.986995"	"2015-04-01 14:16:32.986995"
721	"Dual Music Player - Listen To 2 Songs At The Same Time"	"United States"	" Universal"	" Music"	" Mar 26, 2015"	" 811.0 KB"	" Abdiel Garcia Castelan"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.anish.DualMusicPlayerPro"	"3.0"	"47"	"3.0"	"47"	"(21)"	"(0)"	"(3)"	"(4)"	"(19)"	"(21)"	"(0)"	"(3)"	"(4)"	"(19)"	662	"2015-04-01 14:16:39.656049"	"2015-04-01 14:16:39.656049"
722	"Merriam-Webster Dictionary & Thesaurus"	"United States"	" iPhone, iPod touch"	" Reference"	" Mar 26, 2015"	" 34.5 MB"	"  Merriam-Webster, Inc."	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.m-w.dictionary-premium"	"3.9"	"60"	"4.1"	"1,058"	"(31)"	"(10)"	"(7)"	"(5)"	"(7)"	"(686)"	"(136)"	"(59)"	"(59)"	"(118)"	665	"2015-04-01 14:16:46.353962"	"2015-04-01 14:16:46.353962"
723	"Game of Thrones - A Telltale Games Series"	"United States"	" Universal"	" Games"	" Mar 27, 2015"	" 758.2 MB"	" Telltale Games"	"Rated 17+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.telltalegames.GOT100"	"3.2"	"98"	"3.0"	"463"	"(44)"	"(5)"	"(8)"	"(11)"	"(30)"	"(159)"	"(42)"	"(47)"	"(63)"	"(152)"	668	"2015-04-01 14:16:52.885459"	"2015-04-01 14:16:52.885459"
724	"XCOM®: Enemy Within"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 1.8 GB"	" 2K, INC."	"Rated 17+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.2k.xcomew"	"3.7"	"736"	"3.7"	"1,082"	"(428)"	"(63)"	"(28)"	"(26)"	"(191)"	"(640)"	"(84)"	"(44)"	"(40)"	"(274)"	671	"2015-04-01 14:16:59.394997"	"2015-04-01 14:16:59.394997"
725	"The Night Sky™"	"United States"	" Universal"	" Reference"	" Apr 01, 2015"	" 77.5 MB"	" iCandi Apps"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.icandiapps.nightsky"	"3.2"	"12"	"4.6"	"8,362"	"(4)"	"(2)"	"(0)"	"(4)"	"(2)"	"(6,420)"	"(1,127)"	"(243)"	"(153)"	"(419)"	674	"2015-04-01 14:17:06.551492"	"2015-04-01 14:17:06.551492"
726	"StarMap 3D+: Guide to the Night Sky, Planets, Constellations, and Astronomy"	"United States"	" Universal"	" Education"	" Apr 01, 2015"	" 33.2 MB"	" Edward Sanville"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.EdSanville.StarMap3DPlus"	"4.7"	"99"	"4.4"	"870"	"(81)"	"(11)"	"(3)"	"(1)"	"(3)"	"(637)"	"(109)"	"(38)"	"(33)"	"(53)"	677	"2015-04-01 14:17:13.092789"	"2015-04-01 14:17:13.092789"
727	"Plex"	"United States"	" Universal"	" Entertainment"	" Mar 26, 2015"	" 13.3 MB"	" Plex Inc."	"Rated 4+"	" Requires iOS 5.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.plexapp.plex"	"4.5"	"464"	"4.5"	"12,421"	"(340)"	"(79)"	"(15)"	"(12)"	"(18)"	"(9,541)"	"(1,515)"	"(317)"	"(247)"	"(801)"	680	"2015-04-01 14:17:19.861033"	"2015-04-01 14:17:19.861033"
728	"Busy Shapes"	"United States"	" Universal"	" Education"	" Dec 29, 2014"	" 22.1 MB"	" SEVEN ACADEMY"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.sevenacademy.busyshape"	"3.8"	"40"	"3.9"	"173"	"(20)"	"(5)"	"(7)"	"(1)"	"(7)"	"(84)"	"(38)"	"(17)"	"(15)"	"(19)"	683	"2015-04-01 14:17:26.774923"	"2015-04-01 14:17:26.774923"
729	"SnapQu- Instant Homework Help"	"United States"	" iPhone, iPod touch"	" Education"	" Mar 31, 2015"	" 4.1 MB"	" Roman Khaves"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.snapqu.apple.dev"	"4.1"	"113"	"3.9"	"187"	"(82)"	"(6)"	"(2)"	"(3)"	"(20)"	"(122)"	"(12)"	"(4)"	"(5)"	"(44)"	686	"2015-04-01 14:17:33.294149"	"2015-04-01 14:17:33.294149"
730	"Paleo (io) – The Ultimate Paleo Diet Food List Guide"	"United States"	" Universal"	" Health and Fitness"	" Mar 26, 2015"	" 6.2 MB"	" Impossible Ventures LLC"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.impossibleventures.ultimatepaleoguide"	""	""	"3.6"	"164"	""	""	""	""	""	"(80)"	"(20)"	"(14)"	"(13)"	"(37)"	689	"2015-04-01 14:17:39.960242"	"2015-04-01 14:17:39.960242"
731	"Over"	"United States"	" Universal"	" Photo and Video"	" Apr 01, 2015"	" 44.1 MB"	" Over, LLC"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.gopotluck.over"	"5.0"	"5"	"4.3"	"6,881"	"(5)"	"(0)"	"(0)"	"(0)"	"(0)"	"(4,618)"	"(1,141)"	"(378)"	"(251)"	"(493)"	692	"2015-04-01 14:17:46.641164"	"2015-04-01 14:17:46.641164"
732	"30 Day Fitness Challenges"	"United States"	" Universal"	" Health and Fitness"	" Mar 26, 2015"	" 41.5 MB"	" Foamy Media Ltd."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.fitness.challenges"	"2.9"	"26"	"2.1"	"204"	"(6)"	"(3)"	"(7)"	"(3)"	"(7)"	"(22)"	"(17)"	"(26)"	"(33)"	"(106)"	695	"2015-04-01 14:17:53.258686"	"2015-04-01 14:17:53.258686"
733	"Face Swap!"	"United States"	" iPhone, iPod touch"	" Entertainment"	" Mar 26, 2015"	" 22.6 MB"	" Iddiction, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.iddiction.faceswap"	"1.9"	"24"	"4.1"	"2,055"	"(3)"	"(2)"	"(1)"	"(1)"	"(17)"	"(1,307)"	"(274)"	"(91)"	"(65)"	"(318)"	698	"2015-04-01 14:17:59.991657"	"2015-04-01 14:17:59.991657"
734	"Forest: Stay focused, be present"	"United States"	" iPhone, iPod touch"	" Productivity"	" Mar 31, 2015"	" 13.0 MB"	" ShaoKan Pi"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.forestapp.Forest"	""	""	"4.6"	"253"	""	""	""	""	""	"(182)"	"(55)"	"(8)"	"(1)"	"(7)"	701	"2015-04-01 14:18:06.619307"	"2015-04-01 14:18:06.619307"
735	"Tobuscus Adventures: Wizards"	"United States"	" Universal"	" Games"	" Mar 20, 2015"	" 240.1 MB"	" MoeSuckra Inc"	"Rated 9+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.tobuscus.wizards"	"4.8"	"3,131"	"4.8"	"3,131"	"(2,639)"	"(362)"	"(65)"	"(30)"	"(35)"	"(2,639)"	"(362)"	"(65)"	"(30)"	"(35)"	704	"2015-04-01 14:18:13.125007"	"2015-04-01 14:18:13.125007"
736	"Music Plus - Free Music Player Pro for SoundCloud and Jamendo"	"United States"	" Universal"	" Music"	" Mar 27, 2015"	" 41.8 MB"	" Hung Vu Manh"	"Rated 9+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.kawasoft.imusic"	"4.2"	"82"	"4.4"	"2,503"	"(55)"	"(10)"	"(6)"	"(3)"	"(8)"	"(1,662)"	"(492)"	"(154)"	"(71)"	"(124)"	707	"2015-04-01 14:18:19.735829"	"2015-04-01 14:18:19.735829"
737	"Eagle Simulator"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 44.6 MB"	" Gluten Free Games LLC"	"Rated 9+"	" Requires iOS 4.0 or later. Compatible with iPhone 3GS, iPhone 4, iPhone 4S, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPad, iPod touch (3rd generation), iPod touch (4th generation), and iPod touch (5th generation). This app is optimized for iPhone 5."	" com.glutenfreegames.eaglesimulator"	"4.3"	"648"	"4.3"	"648"	"(456)"	"(78)"	"(34)"	"(24)"	"(56)"	"(456)"	"(78)"	"(34)"	"(24)"	"(56)"	710	"2015-04-01 14:18:26.263238"	"2015-04-01 14:18:26.263238"
738	"QuickVoice2Text Email (PRO Recorder)"	"United States"	" Universal"	" Business"	" Mar 26, 2015"	" 746.7 KB"	" nFinity Inc"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.nfinity.QuickVoicePro"	"2.9"	"20"	"2.5"	"3,255"	"(8)"	"(1)"	"(1)"	"(0)"	"(10)"	"(574)"	"(368)"	"(483)"	"(448)"	"(1,382)"	713	"2015-04-01 14:18:32.741883"	"2015-04-01 14:18:32.741883"
739	"Ticket to Ride Pocket"	"United States"	" iPhone, iPod touch"	" Games"	" Mar 17, 2015"	" 20.3 MB"	" Days of Wonder"	"Rated 4+"	" Requires iOS 4.2 or later. Compatible with iPhone 3GS, iPhone 4, iPhone 4S, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPad, iPod touch (3rd generation), iPod touch (4th generation), and iPod touch (5th generation)."	" com.daysofwonder.TicketToRideiPhone"	"4.6"	"6,926"	"4.6"	"25,635"	"(5,152)"	"(1,053)"	"(348)"	"(161)"	"(212)"	"(19,853)"	"(3,763)"	"(1,147)"	"(389)"	"(483)"	716	"2015-04-01 14:18:39.304829"	"2015-04-01 14:18:39.304829"
740	"DirectVR Touch Remote"	"United States"	" iPhone, iPod touch"	" Utilities"	" Mar 26, 2015"	" 3.3 MB"	" RMR Labz"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.rmrlabz.directouch"	"3.1"	"54"	"4.2"	"488"	"(21)"	"(6)"	"(2)"	"(8)"	"(17)"	"(337)"	"(50)"	"(21)"	"(18)"	"(62)"	719	"2015-04-01 14:18:46.126821"	"2015-04-01 14:18:46.126821"
741	"SMS Export"	"United States"	" iPhone, iPod touch"	" Utilities"	" Mar 26, 2015"	" 302.1 KB"	" Patriza Dann"	"Rated 4+"	" Requires iOS 2.0 or later. Compatible with iPhone, iPad, and iPod touch."	" farenga.SMSExport"	"3.8"	"532"	"3.8"	"532"	"(307)"	"(70)"	"(12)"	"(8)"	"(135)"	"(307)"	"(70)"	"(12)"	"(8)"	"(135)"	722	"2015-04-01 14:18:52.659632"	"2015-04-01 14:18:52.659632"
742	"Vector for iPhone"	"United States"	" iPhone, iPod touch"	" Games"	" Mar 26, 2015"	" 77.5 MB"	" MOBILNYE IGRY OOO"	"Rated 9+"	" Requires iOS 3.1 or later. Compatible with iPhone 3GS, iPhone 4, iPhone 4S, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPad, iPod touch (3rd generation), iPod touch (4th generation), and iPod touch (5th generation). This app is optimized for iPhone 5."	" com.nekki.vector.iphone"	"4.4"	"264"	"4.2"	"3,988"	"(195)"	"(28)"	"(17)"	"(11)"	"(13)"	"(2,544)"	"(603)"	"(328)"	"(190)"	"(323)"	725	"2015-04-01 14:18:59.304636"	"2015-04-01 14:18:59.304636"
743	"Pocket God"	"United States"	" Universal"	" Entertainment"	" Dec 29, 2014"	" 68.0 MB"	" Bolt Creative"	"Rated 9+"	" Requires iOS 5.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.boltcreative.pocketgod"	"4.4"	"557"	"4.1"	"186,947"	"(380)"	"(79)"	"(48)"	"(18)"	"(32)"	"(118,712)"	"(18,775)"	"(14,889)"	"(10,797)"	"(23,774)"	728	"2015-04-01 14:19:07.203042"	"2015-04-01 14:19:07.203042"
744	"Ringtone Designer Pro - Create Unlimited Ringtones, Text Tones, Email Alerts, and More!"	"United States"	" iPhone, iPod touch"	" Music"	" Mar 27, 2015"	" 3.3 MB"	" BLACKOUT LABS"	"Rated 4+"	" Requires iOS 4.3 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.blackoutlabs.rfactpro"	"4.4"	"1,486"	"4.4"	"8,723"	"(1,076)"	"(206)"	"(47)"	"(28)"	"(129)"	"(6,299)"	"(1,298)"	"(320)"	"(184)"	"(622)"	731	"2015-04-01 14:19:13.753056"	"2015-04-01 14:19:13.753056"
745	"iCalendar"	"United States"	" Universal"	" Productivity"	" Mar 26, 2015"	" 14.5 MB"	" Symfonies, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.infinitetiers.calendarapp"	"4.7"	"97"	"4.1"	"1,522"	"(73)"	"(19)"	"(4)"	"(1)"	"(0)"	"(884)"	"(324)"	"(106)"	"(57)"	"(151)"	734	"2015-04-01 14:19:20.741234"	"2015-04-01 14:19:20.741234"
746	"iTrackBites - Points Calculator with Weight Loss Exercise Tracker and Calorie Lose Counter for Diet Food Nutrition Watchers"	"United States"	" iPhone, iPod touch"	" Health and Fitness"	" Mar 26, 2015"	" 48.5 MB"	" Ellisapps Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.ellis.itrackbites"	"4.5"	"379"	"4.4"	"3,451"	"(266)"	"(68)"	"(15)"	"(12)"	"(18)"	"(2,150)"	"(898)"	"(186)"	"(81)"	"(136)"	737	"2015-04-01 14:19:27.253671"	"2015-04-01 14:19:27.253671"
747	"A Dark Room"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 20.7 MB"	" Amirali Rajan"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.doublespeakgames-scratchworkdev.adarkroom"	"4.8"	"4,463"	"4.7"	"25,921"	"(4,082)"	"(188)"	"(38)"	"(29)"	"(126)"	"(22,972)"	"(1,338)"	"(305)"	"(271)"	"(1,035)"	740	"2015-04-01 14:19:33.714120"	"2015-04-01 14:19:33.714120"
748	"Tank Hero"	"United States"	" iPhone, iPod touch"	" Games"	" Mar 26, 2015"	" 12.9 MB"	" Clapfoot Inc"	"Rated 9+"	" Requires iOS 5.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.clapfootgames.tankhero"	"4.5"	"156"	"4.6"	"13,693"	"(108)"	"(30)"	"(10)"	"(4)"	"(4)"	"(9,857)"	"(2,535)"	"(790)"	"(263)"	"(248)"	743	"2015-04-01 14:19:40.321560"	"2015-04-01 14:19:40.321560"
749	"djay 2 for iPhone"	"United States"	" iPhone, iPod touch"	" Music"	" Mar 26, 2015"	" 43.7 MB"	" algoriddim GmbH"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5 and iPhone 6."	" com.algoriddim.djay2-iphone"	"4.5"	"54"	"4.5"	"2,255"	"(40)"	"(7)"	"(3)"	"(3)"	"(1)"	"(1,758)"	"(234)"	"(97)"	"(50)"	"(116)"	746	"2015-04-01 14:19:46.900850"	"2015-04-01 14:19:46.900850"
750	"Ricky Carmichael's Motocross Matchup Pro"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 89.5 MB"	" 2XL Games, Inc."	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.twoxlgames.mxmatchuppro"	"4.3"	"194"	"4.1"	"4,176"	"(134)"	"(26)"	"(10)"	"(13)"	"(11)"	"(2,609)"	"(490)"	"(343)"	"(232)"	"(502)"	749	"2015-04-01 14:19:53.470676"	"2015-04-01 14:19:53.470676"
751	"12 Steps AA Companion - Alcoholics Anonymous"	"United States"	" Universal"	" Lifestyle"	" Mar 22, 2015"	" 21.0 MB"	" Dean Huff"	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" huff.dean.twelvesteps"	"4.0"	"16"	"3.7"	"1,571"	"(9)"	"(3)"	"(1)"	"(1)"	"(2)"	"(795)"	"(233)"	"(160)"	"(84)"	"(299)"	752	"2015-04-01 14:20:00.146459"	"2015-04-01 14:20:00.146459"
752	"Kingdom Rush Origins"	"United States"	" iPhone, iPod touch"	" Games"	" Mar 26, 2015"	" 183.4 MB"	" Pablo Realini Mompoey"	"Rated 9+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.ironhidegames.kingdomrush.elves"	"4.8"	"365"	"4.8"	"2,336"	"(326)"	"(25)"	"(6)"	"(6)"	"(2)"	"(2,057)"	"(191)"	"(50)"	"(20)"	"(18)"	755	"2015-04-01 14:20:06.658816"	"2015-04-01 14:20:06.658816"
753	"Speak & Translate － Live Voice and Text Translator with Speech and Dictionary"	"United States"	" Universal"	" Reference"	" Mar 20, 2015"	" 25.7 MB"	" IAC Search & Media Europe Ltd."	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.appicfun.translator"	"4.5"	"62"	"4.6"	"1,507"	"(47)"	"(8)"	"(2)"	"(0)"	"(5)"	"(1,144)"	"(239)"	"(46)"	"(20)"	"(58)"	758	"2015-04-01 14:20:13.162049"	"2015-04-01 14:20:13.162049"
754	"Adventure Time Game Wizard - Draw Your Own Adventure Time Games"	"United States"	" Universal"	" Games"	" Mar 12, 2015"	" 242.8 MB"	" Turner Broadcasting System, Inc."	"Rated 9+, Made for Ages 9-11"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.turner.pixelpressadventuretime"	"4.2"	"67"	"3.9"	"520"	"(43)"	"(11)"	"(5)"	"(2)"	"(6)"	"(298)"	"(62)"	"(49)"	"(41)"	"(70)"	761	"2015-04-01 14:20:19.666545"	"2015-04-01 14:20:19.666545"
755	"MotionX 24/7: Sleeptracker, Sleep Cycle Alarm, Snore, Apnea, Heart Rate Monitor, Weight Loss, Activity Tracker"	"United States"	" iPhone, iPod touch"	" Medical"	" Mar 27, 2015"	" 32.3 MB"	" Fullpower Technologies, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.fullpower.MotionXSleep"	"4.4"	"278"	"4.3"	"2,207"	"(195)"	"(47)"	"(10)"	"(5)"	"(21)"	"(1,445)"	"(442)"	"(101)"	"(71)"	"(148)"	764	"2015-04-01 14:20:26.369850"	"2015-04-01 14:20:26.369850"
