"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
881	"paid"	294	"Mixologist™ Drink  Cocktail Recipes"	"https://www.appannie.com/apps/ios/app/mixologisttm-drink-cocktail-recipes/"	"2015-04-01 12:38:49.397453"	"2015-04-01 12:39:04.932514"
882	"grossing"	294	"H9 Control"	"https://www.appannie.com/apps/ios/app/h9-control/"	"2015-04-01 12:38:49.406213"	"2015-04-01 12:39:04.942924"
883	"free"	295	"myVEGAS Slots - Free Las Vegas Casino"	"https://www.appannie.com/apps/ios/app/myvegas-slots-free-las-vegas-casino/"	"2015-04-01 12:38:49.415718"	"2015-04-01 12:39:04.952540"
884	"paid"	295	"Wrestle Jump"	"https://www.appannie.com/apps/ios/app/wrestle-jump/"	"2015-04-01 12:38:49.425666"	"2015-04-01 12:39:04.960877"
885	"grossing"	295	"Afterlight"	"https://www.appannie.com/apps/ios/app/573116090/"	"2015-04-01 12:38:49.435212"	"2015-04-01 12:39:04.969655"
886	"free"	296	"Extreme Car Driving Simulator Free"	"https://www.appannie.com/apps/ios/app/extreme-car-driving-simulator/"	"2015-04-01 12:38:49.443634"	"2015-04-01 12:39:04.979128"
887	"paid"	296	"Storm Shield"	"https://www.appannie.com/apps/ios/app/storm-shield/"	"2015-04-01 12:38:49.452869"	"2015-04-01 12:39:04.991495"
888	"grossing"	296	"Spades Plus"	"https://www.appannie.com/apps/ios/app/spades-plus/"	"2015-04-01 12:38:49.461396"	"2015-04-01 12:39:05.001895"
889	"free"	297	"MyMP3 - Convert videos to mp3 and best music player"	"https://www.appannie.com/apps/ios/app/mymp3-convert-videos-to-mp3/"	"2015-04-01 12:38:49.473218"	"2015-04-01 12:39:05.012367"
890	"paid"	297	"Family Feud™"	"https://www.appannie.com/apps/ios/app/family-feudtm/"	"2015-04-01 12:38:49.481808"	"2015-04-01 12:39:05.024212"
891	"grossing"	297	"The Economist for iPhone"	"https://www.appannie.com/apps/ios/app/the-economist-for-iphone/"	"2015-04-01 12:38:49.490954"	"2015-04-01 12:39:05.032665"
892	"free"	298	"VivaVideo - Free Video Editor  Maker"	"https://www.appannie.com/apps/ios/app/vivavideo-free-video-editor-maker/"	"2015-04-01 12:38:49.499907"	"2015-04-01 12:39:05.041498"
893	"paid"	298	"Water Your Body"	"https://www.appannie.com/apps/ios/app/water-your-body/"	"2015-04-01 12:38:49.507899"	"2015-04-01 12:39:05.051249"
894	"grossing"	298	"NBA JAM by EA SPORTS™"	"https://www.appannie.com/apps/ios/app/nba-jam-by-ea-sports/"	"2015-04-01 12:38:49.519530"	"2015-04-01 12:39:05.061236"
895	"free"	299	"Best Video Downloader (FREE)"	"https://www.appannie.com/apps/ios/app/best-video-downloader-free/"	"2015-04-01 12:38:49.527891"	"2015-04-01 12:39:05.069281"
896	"paid"	299	"Elmo Calls"	"https://www.appannie.com/apps/ios/app/elmo-calls/"	"2015-04-01 12:38:49.536518"	"2015-04-01 12:39:05.078989"
897	"grossing"	299	"5000 Likes Pro - Get likes and followers for Instagram app"	"https://www.appannie.com/apps/ios/app/5000-likes-pro-get-likes-and-followers-for-instagram-app/"	"2015-04-01 12:38:49.545194"	"2015-04-01 12:39:05.090146"
898	"free"	300	"Beat the Boss"	"https://www.appannie.com/apps/ios/app/beat-the-boss/"	"2015-04-01 12:38:49.555007"	"2015-04-01 12:39:05.099905"
899	"paid"	300	"Offroad Legends"	"https://www.appannie.com/apps/ios/app/offroad-legends/"	"2015-04-01 12:38:49.565465"	"2015-04-01 12:39:05.108694"
900	"grossing"	300	"BlackJack - myVEGAS 21 Free Las Vegas Casino"	"https://www.appannie.com/apps/ios/app/blackjack-myvegas-21-free-las-vegas-casino/"	"2015-04-01 12:38:49.575005"	"2015-04-01 12:39:05.118226"
