"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
93	"grossing"	31	"Trivia Crack (Ad Free)"	"http://www.appannie.com/apps/ios/app/trivia-crack-ad-free/"	"2015-03-31 17:34:19.097934"	"2015-03-31 17:34:22.547890"
94	"free"	32	"Dictator: Outbreak"	"http://www.appannie.com/apps/ios/app/dictator-outbreak/"	"2015-03-31 17:34:19.105704"	"2015-03-31 17:34:22.558190"
95	"paid"	32	"Monument Valley"	"http://www.appannie.com/apps/ios/app/monument-valley/"	"2015-03-31 17:34:19.114215"	"2015-03-31 17:34:22.569254"
96	"grossing"	32	"GSN Casino - Slots, Bingo, Video Poker, Cards and more!"	"http://www.appannie.com/apps/ios/app/gsn-casino-slots-bingo-video-poker-cards-and-more/"	"2015-03-31 17:34:19.123864"	"2015-03-31 17:34:22.578366"
97	"free"	33	"iHeartRadio: Free Music & Radio, Streaming AM & FM Stations, NPR, Podcasts, Playlists, Live News, & Sports"	"http://www.appannie.com/apps/ios/app/iheartradio-free-music-radio-streaming-am-fm-stations-npr-podcasts-playlists-live-news-sports/"	"2015-03-31 17:34:19.133466"	"2015-03-31 17:34:22.589004"
98	"paid"	33	"Goat Simulator"	"http://www.appannie.com/apps/ios/app/goat-simulator/"	"2015-03-31 17:34:19.144676"	"2015-03-31 17:34:22.598957"
99	"grossing"	33	"POF - Free Dating App"	"http://www.appannie.com/apps/ios/app/pof-free-dating-app/"	"2015-03-31 17:34:19.154443"	"2015-03-31 17:34:22.610616"
100	"free"	34	"Crossy Road - Endless Arcade Hopper"	"http://www.appannie.com/apps/ios/app/crossy-road-endless-arcade-hopper/"	"2015-03-31 17:34:19.164435"	"2015-03-31 17:34:22.620791"
101	"paid"	34	"True Skate"	"http://www.appannie.com/apps/ios/app/true-skate/"	"2015-03-31 17:34:19.173872"	"2015-03-31 17:34:22.630388"
102	"grossing"	34	"Trivia Crack"	"http://www.appannie.com/apps/ios/app/trivia-crack/"	"2015-03-31 17:34:19.183224"	"2015-03-31 17:34:22.641421"
103	"free"	35	"SoundCloud - Music & Audio"	"http://www.appannie.com/apps/ios/app/soundcloud-music-audio/"	"2015-03-31 17:34:19.194007"	"2015-03-31 17:34:22.652601"
104	"paid"	35	"Angry Birds"	"http://www.appannie.com/apps/ios/app/angry-birds/"	"2015-03-31 17:34:19.202424"	"2015-03-31 17:34:22.664022"
105	"grossing"	35	"Slots - House of Fun! Las Vegas Casino Games, Free Slots Machines . Spin & Win Slots Roulette"	"http://www.appannie.com/apps/ios/app/slots-house-of-fun-las-vegas-casino-games-free-slots-machines-spin-win-slots-roulette/"	"2015-03-31 17:34:19.212841"	"2015-03-31 17:34:22.673490"
106	"free"	36	"Kick the Buddy: Second Kick Free"	"http://www.appannie.com/apps/ios/app/kick-buddy-second-kick-free/"	"2015-03-31 17:34:19.221390"	"2015-03-31 17:34:22.683808"
107	"paid"	36	"Pimp Your Screen - Custom Themes, Backgrounds and Wallpapers for iPhone, iPod touch and iPad"	"http://www.appannie.com/apps/ios/app/pimp-your-screen-custom-themes-backgrounds-and-wallpapers-for-iphone-ipod-touch-and-ipad/"	"2015-03-31 17:34:19.232989"	"2015-03-31 17:34:22.694397"
108	"grossing"	36	"Castle Clash by IGG"	"http://www.appannie.com/apps/ios/app/castle-clash-by-igg/"	"2015-03-31 17:34:19.244209"	"2015-03-31 17:34:22.703261"
109	"free"	37	"Amazon App: shop, browse, scan, compare, and read reviews"	"http://www.appannie.com/apps/ios/app/amazon-app-shop-browse-scan-compare-and-read-reviews/"	"2015-03-31 17:34:19.254910"	"2015-03-31 17:34:22.713085"
110	"paid"	37	"Camera+"	"http://www.appannie.com/apps/ios/app/camera/"	"2015-03-31 17:34:19.264293"	"2015-03-31 17:34:22.722819"
111	"grossing"	37	"Madden NFL Mobile"	"http://www.appannie.com/apps/ios/app/madden-nfl-mobile/"	"2015-03-31 17:34:19.272683"	"2015-03-31 17:34:22.734315"
112	"free"	38	"Yahoo Mail - Free Email, News, Weather and more"	"http://www.appannie.com/apps/ios/app/yahoo-mail-free-email-news-weather-and-more/"	"2015-03-31 17:34:19.281931"	"2015-03-31 17:34:22.744707"
113	"paid"	38	"Couch to 5K® - Running App, Training Coach and GPS Tracker"	"http://www.appannie.com/apps/ios/app/couch-to-5k-running-app-training-coach-and-gps-tracker/"	"2015-03-31 17:34:19.290630"	"2015-03-31 17:34:22.754004"
114	"grossing"	38	"Crime City"	"http://www.appannie.com/apps/ios/app/crime-city/"	"2015-03-31 17:34:19.300520"	"2015-03-31 17:34:22.765447"
115	"free"	39	"Free Music PLUS - MP3 Music Player"	"http://www.appannie.com/apps/ios/app/free-music-plus-mp3-music-player/"	"2015-03-31 17:34:19.310818"	"2015-03-31 17:34:22.777772"
116	"paid"	39	"Instant Blood Pressure - Monitor Blood Pressure Using Only Your Phone"	"http://www.appannie.com/apps/ios/app/instant-blood-pressure-monitor-blood-pressure-using-only-your-phone/"	"2015-03-31 17:34:19.321500"	"2015-03-31 17:34:22.787652"
